Formula,FW,DSSTox_CID,SR-HSE,ID,SMILES,Molecule,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
C28H31ClN2O3,479.0103,1243,1.0,NCGC00256402-01,CC/N=c1/cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BF92E30>,0.0,1.0,1.0,0.0,,,,,1.0,0.0,
C16H34Cl2Sn,416.0572,9662,1.0,NCGC00258036-01,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001199BF92F80>,0.0,1.0,,,,,,0.0,,,
C47H68O17,905.0326,26876,,NCGC00181150-01,CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3,<rdkit.Chem.rdchem.Mol object at 0x000001199BF93060>,0.0,,0.0,,0.0,1.0,,0.0,,,
C8H18Cl2Sn,303.8445,7292,1.0,NCGC00259224-01,CCCC[Sn](Cl)(Cl)CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001199BF93140>,0.0,1.0,1.0,1.0,,1.0,,,,,
C14H10Cl4,320.0412,373,,NCGC00258848-01,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BF93370>,0.0,,,0.0,0.0,1.0,,0.0,,0.0,0.0
C22H17ClF3N3O7,527.8345,12690,,NCGC00254629-01,COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BF93450>,0.0,,1.0,,0.0,1.0,,,,0.0,
C10H17Cl2NOS,270.2191,391,,NCGC00258196-01,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001199BF93530>,0.0,,1.0,,0.0,,0.0,,,,
C20H36ClN,325.9595,26834,,NCGC00181085-01,CCCCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x000001199BF93610>,0.0,,,0.0,0.0,1.0,,,,,
C23H23ClN2S2,427.0251,28657,,NCGC00181104-02,CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x000001199BF936F0>,0.0,,,0.0,,1.0,,0.0,,,0.0
C17H18Cl3N,342.6905,20243,,NCGC00092386-03,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BF93840>,0.0,,,0.0,0.0,,,,,,0.0
C44H85O3PS,725.1827,29350,1.0,NCGC00260260-01,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199BF93A00>,0.0,,,,,1.0,,,1.0,0.0,
C6H7BHgO3,338.519,26308,,NCGC00161826-01,OB(O)O[Hg]c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BF93AE0>,0.0,,,1.0,,,,,1.0,1.0,1.0
C14H8Br2F3NO2,439.022,21985,1.0,NCGC00181143-01,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Br)cc(Br)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001199BF93BC0>,0.0,,,0.0,,1.0,,0.0,1.0,0.0,
C18H40ClN,305.9699,15491,,NCGC00182056-02,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x000001199BF93E60>,0.0,,,0.0,0.0,1.0,,,0.0,,0.0
C34H42Cl2F6N2O4S,759.6697,27288,,NCGC00254253-01,CN(C[C@@H](CC[N+]12CCC(C3CCCCC3)(CC1)CC2)c1ccc(Cl)c(Cl)c1)C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CS(=O)(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199BFA80B0>,0.0,,,,0.0,0.0,,0.0,,0.0,
C32H41NO2,471.6734,3642,,NCGC00016064-06,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA8190>,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
C60H92N12O10,1141.4469,26008,,NCGC00095992-01,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA82E0>,0.0,,,0.0,,1.0,,1.0,1.0,,
C15H15ClF3N3O,345.7473,12500,,NCGC00254770-01,CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)n1ccnc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA8660>,0.0,1.0,1.0,,0.0,,,1.0,,0.0,
C28H24ClF3N4O6S,637.0266,27817,,NCGC00167488-01,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA8890>,0.0,,,0.0,0.0,1.0,,,1.0,,
C23H25ClN2O4S,460.9736,25791,,NCGC00094205-01,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA8970>,0.0,,,0.0,,,0.0,,,0.0,0.0
C76H52O46,1701.1985,6076,,NCGC00095101-01,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA8AC0>,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,1.0,0.0
C19H42ClN,319.9965,6901,,NCGC00260104-01,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x000001199BFA8E40>,0.0,,,0.0,0.0,1.0,,,,0.0,
Cl2Hg,271.496,811,1.0,NCGC00254443-01,[Cl-].[Cl-].[Hg+2],<rdkit.Chem.rdchem.Mol object at 0x000001199BFA9000>,0.0,,,1.0,1.0,,,1.0,1.0,,1.0
C32H39NO2,469.6576,26472,,NCGC00164603-01,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA90E0>,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
C22H30O3,342.4718,26843,,NCGC00181099-01,Cc1cc(O)c2c(c1)O[C@@]1(C)CC[C@H]3C(C)(C)CCCC34CO[C@@H]2[C@H]41,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA9310>,0.0,,,0.0,0.0,,,,,0.0,0.0
C9H4Cl3IO,361.3909,26865,,NCGC00181134-01,Clc1cc(Cl)c(OCC#CI)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA9770>,0.0,,,0.0,0.0,,,0.0,,0.0,
C29H31F2N3O,475.5727,25152,,NCGC00015424-04,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA9A80>,0.0,,0.0,0.0,0.0,,,0.0,,,0.0
C15H20O6,296.3157,7773,,NCGC00257300-01,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x000001199BFA9E00>,0.0,1.0,,1.0,,1.0,,,,1.0,
C11H19NOS,213.3397,5805,1.0,NCGC00259010-01,CCCCCCCCn1sccc1=O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAA110>,0.0,,,,0.0,1.0,,,1.0,0.0,0.0
C18H35NO,281.4766,22086,,NCGC00255788-01,CCCCCCCCCCCCN1CCCCCC1=O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAA1F0>,0.0,,,0.0,0.0,,0.0,,,,0.0
C19H28N2O5S2,428.566,27246,,NCGC00254170-01,CC(C)(C)c1cc(/C=C2\SC(=N)NC2=O)cc(C(C)(C)C)c1O.CS(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAA2D0>,0.0,1.0,,,0.0,1.0,,,,,0.0
C25H18O2,350.4092,17731,,NCGC00255689-01,Oc1ccc(C2(c3ccc(O)cc3)c3ccccc3-c3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAA570>,0.0,,,,0.0,,,,1.0,0.0,0.0
C18H39NO2,301.5078,24865,,NCGC00256057-01,CCCCCCCCCCCCCCN(CCO)CCO,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAA650>,0.0,0.0,,0.0,0.0,,0.0,,,,
C15H34ClN,263.8902,6900,0.0,NCGC00254400-01,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x000001199BFAA810>,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,
C11H9NaO5S,276.2409,20547,,NCGC00160478-01,CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O.[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199BFAA9D0>,0.0,,,,1.0,,,,1.0,0.0,0.0
C8H7NO2,149.1467,1285,,NCGC00258326-01,O=[N+]([O-])/C=C/c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAAAB0>,0.0,,,0.0,,,0.0,,1.0,1.0,
C9H9NO2,163.1733,21188,1.0,NCGC00257343-01,C/C(=C\c1ccccc1)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199BFAAB90>,0.0,,,0.0,0.0,1.0,,,,,
C50H75NO14,914.1288,28903,,NCGC00181798-01,CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAAC70>,0.0,,,0.0,0.0,1.0,,,,0.0,0.0
C13H13ClN2O,248.7081,4457,,NCGC00091950-01,Cl.Nc1c2ccccc2nc2ccccc12.O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAB140>,0.0,,1.0,,1.0,1.0,1.0,,1.0,0.0,
C12H8Cl5N3O2,403.4758,21268,,NCGC00254561-01,CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAB220>,0.0,,,0.0,0.0,,,,1.0,0.0,
C10H6Cl8,409.7786,28117,,NCGC00257844-01,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAB300>,0.0,,,1.0,0.0,1.0,,,,0.0,
C18H24ClN3O,333.8557,14223,1.0,NCGC00254940-01,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAB3E0>,0.0,1.0,,,0.0,,,,,0.0,
C50H74O14,899.1142,28908,,NCGC00185761-01,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAB5A0>,0.0,,0.0,0.0,0.0,1.0,,,,,0.0
C32H38N2O8,578.6527,383,,NCGC00168786-01,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAB680>,0.0,,,0.0,1.0,1.0,0.0,,0.0,0.0,
C10H10N2,158.1998,5696,,NCGC00260446-01,Nc1ccc(N)c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAB760>,0.0,,,0.0,1.0,1.0,,,,,0.0
C9H9NO7,243.1703,946,1.0,NCGC00258281-01,CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFAB920>,0.0,1.0,,,0.0,,,,,1.0,
C49H76O19,969.1163,3196,,NCGC00160523-01,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFABBC0>,,,,0.0,0.0,1.0,,,1.0,,
C35H38Cl2FN3O7,702.5965,27387,0.0,NCGC00254153-01,CC(=O)NC1(c2cccc(F)c2)CCN(CC[C@@]2(c3ccc(Cl)c(Cl)c3)CN(c3ccccc3)C(=O)CO2)CC1.O=C(O)CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFABD80>,0.0,,,0.0,0.0,,,,,0.0,
C43H57N5O11S,852.0046,29000,,NCGC00185772-01,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFABE60>,0.0,,0.0,,,,0.0,,1.0,1.0,
C24H40N8O4,504.6256,20668,,NCGC00015385-12,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBC0B0>,0.0,,,,0.0,,,0.0,1.0,,
C6H12CuN2S4,303.9789,345,1.0,NCGC00260326-01,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2],<rdkit.Chem.rdchem.Mol object at 0x000001199BFBC200>,0.0,,,1.0,,,,,0.0,1.0,
C9H18FeN3S6,416.4943,624,1.0,NCGC00260137-01,CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3],<rdkit.Chem.rdchem.Mol object at 0x000001199BFBC2E0>,0.0,,,0.0,,,,,0.0,,
C18H13F6KN4O3,486.4095,27328,,NCGC00253991-01,NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[n-]1.O.[K+],<rdkit.Chem.rdchem.Mol object at 0x000001199BFBC430>,0.0,1.0,,0.0,0.0,,,,,,0.0
C10H8N2O2S2Zn,317.7217,6314,1.0,NCGC00259729-01,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199BFBC740>,0.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0
C30H23BrO4,527.4052,12589,,NCGC00167566-01,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBC820>,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,
C24H36O5,404.5396,784,0.0,NCGC00259026-01,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBCA50>,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C20H12,252.3093,3909,,NCGC00258275-01,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBCB30>,0.0,,,,1.0,,0.0,,1.0,0.0,
C42H67NO16,841.9785,26855,,NCGC00181116-01,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C2OC2C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBCC10>,0.0,,0.0,0.0,0.0,0.0,,,,,
C16H32O2Sn,375.1341,15204,1.0,NCGC00254380-01,C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBCDD0>,0.0,1.0,,,,1.0,,1.0,,,
C42H53ClN4O7S,793.4108,27351,0.0,NCGC00253992-01,COc1ccc2cc(S(=O)(=O)N[C@H](CC(=O)N[C@H](Cc3ccc(CN4[C@H](C)CCC[C@@H]4C)cc3)C(=O)N(C)C(C)C)c3ccc4c(c3)OCO4)ccc2c1.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBCEB0>,0.0,,,,0.0,1.0,,,,,0.0
C4H4Cl4O2S,257.9504,21461,1.0,NCGC00255452-01,O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBD0E0>,0.0,,,1.0,,,,1.0,,1.0,
C14H9Cl2N3S2,354.2774,28533,,NCGC00182704-01,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBD380>,0.0,1.0,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0
C14H7Cl2FN2O3S,373.1864,27304,,NCGC00254304-01,NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBD540>,0.0,,,0.0,1.0,,,,1.0,0.0,
C33H34N6O6,610.6597,239,,NCGC00255218-01,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBD930>,0.0,,,,0.0,1.0,,,,0.0,0.0
C53H83NO14,958.2244,20599,,NCGC00167512-01,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBDBD0>,0.0,,1.0,,0.0,1.0,0.0,,,,
C20H10Na2O5,376.2699,5328,,NCGC00159347-02,O=C1OC2(c3ccc([O-])cc3Oc3cc([O-])ccc32)c2ccccc21.[Na+].[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199BFBDCB0>,0.0,,0.0,0.0,0.0,,0.0,,,0.0,
C28H44O,396.6484,233,1.0,NCGC00259897-01,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBDF50>,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0
C14H22O,206.3239,6602,,NCGC00254167-01,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBE030>,0.0,0.0,,,0.0,1.0,,0.0,,0.0,0.0
C20H28N2,296.4497,7771,,NCGC00255230-01,CCCCCCC(C)Nc1ccc(Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBE110>,0.0,,,0.0,,1.0,,,,0.0,0.0
C15H30O2Sn,361.1075,24796,1.0,NCGC00256111-01,C=CC(=O)O[Sn](CCCC)(CCCC)CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBE2D0>,0.0,1.0,,,,1.0,,1.0,,,
C12H28ClN,221.8104,24322,,NCGC00257552-01,CCCCCCCCCCCCN.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBE3B0>,0.0,0.0,,,0.0,,,0.0,,0.0,
C8Cl4N2,265.911,319,1.0,NCGC00259236-01,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBE490>,0.0,,,1.0,0.0,,,,1.0,1.0,
C19H17Cl2N3O3,406.2626,12372,0.0,NCGC00255010-01,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBE570>,0.0,1.0,,,0.0,,,,,,0.0
C32H32O13S,656.6537,3638,,NCGC00095098-01,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5COC(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBE8F0>,0.0,,,0.0,,,,,1.0,0.0,
C30H26N2O13,622.533,25856,,NCGC00094849-01,O=C(O)CN(CC(=O)O)CC1=CC2C(=CC1=O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBEB20>,0.0,,0.0,0.0,0.0,,,,0.0,0.0,
C10H4Cl2O2,227.0436,425,1.0,NCGC00259201-01,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBEC00>,0.0,,1.0,,1.0,1.0,,0.0,,0.0,0.0
C15H22O3,250.3334,2525,,NCGC00259903-01,CCCCC(CC)COC(=O)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBEDC0>,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,,0.0,0.0
C22H24O2,320.4248,27869,1.0,NCGC00258113-01,Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBEEA0>,0.0,1.0,1.0,,,1.0,,,,0.0,
C16H26O,234.377,6974,,NCGC00254009-01,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBEF80>,0.0,,,0.0,0.0,1.0,0.0,0.0,,,0.0
C20H40O2,312.5304,7714,,NCGC00257682-01,CCCCCCCC/C=C\CCCCCCCCOCCO,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF060>,0.0,1.0,,,0.0,1.0,,,,0.0,
C18H35ClN2,314.9369,29085,,NCGC00260208-01,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF140>,0.0,1.0,1.0,,0.0,1.0,,,,0.0,
C2AuKN2,288.0997,24549,1.0,NCGC00255713-01,N#C[Au-]C#N.[K+],<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF220>,0.0,1.0,,1.0,,,,,,1.0,
C52H76O24,1085.1454,3492,,NCGC00181319-01,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)C1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF300>,0.0,,1.0,0.0,,1.0,,,1.0,0.0,
C19H32O2Sn,411.1662,14981,1.0,NCGC00257290-01,CCCC[Sn](CCCC)(CCCC)OC(=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF4C0>,0.0,1.0,,,,1.0,,1.0,,,
C13H11Cl2F4N3O,372.1456,14956,0.0,NCGC00254897-01,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF5A0>,0.0,,1.0,0.0,1.0,,,,,,
C12H24O4Sn,351.0266,419,,NCGC00257670-01,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF680>,0.0,1.0,,0.0,,1.0,,,1.0,,
C33H40N2O,480.6835,28486,1.0,NCGC00257340-01,O=C(CCCCCCCCc1cccnc1)N1CCC(C=C(c2ccccc2)c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF760>,0.0,,,,0.0,,,,,0.0,0.0
C26H31ClN2O8S,567.0509,23909,,NCGC00095835-01,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBF8B0>,0.0,,1.0,,0.0,,0.0,1.0,1.0,0.0,1.0
C14H21NO3,251.3214,1559,,NCGC00255264-01,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBFBC0>,0.0,,,,0.0,1.0,,0.0,,,
C16H35O4P,322.4205,7134,,NCGC00259171-01,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBFD80>,0.0,,0.0,0.0,0.0,1.0,,,,0.0,0.0
AuCl3,303.3256,24379,1.0,NCGC00255972-01,Cl[Au](Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199BFBFE60>,0.0,1.0,,1.0,0.0,,,,,,
