,smiles,Formula,FW,DSSTox_CID,SR-HSE,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
732,CCCC(CCC)(C(=O)OCC)C(=O)OCC,C13H24O4,244.3273,31572,0,,0,,,,,,,,,
733,CCCCCCCCCCC(CO)CCCCCCCC,C20H42O,298.5469,16288,0,,0,,,,,,,,,
734,CCCCCCCCCCCCCCCCN,C16H35N,241.4558,5390,0,,0,,,,,,,,,
735,CCCOc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(OC)CC[C@@H]12,C22H32O2,328.4883,31519,0,,0,,,,,,,,,
736,CCCS(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1,C12H15N3O3S,281.3308,31557,0,,0,,,,,,,,,
737,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,C27H41NO6,475.6175,31613,0,,0,,,,,,,,,
738,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,C20H29N3O2,343.4632,25271,0,,0,,,,,,,,,
739,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C.Cl,C14H20ClN5O2,325.7939 (36.4609+289.3330),25767,0,,0,,,,,,,,,
740,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl,C26H28ClNO9,533.9548 (497.4939+36.4609),27775,0,,1,,,,,,,,,
741,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl,C16H25ClN2,280.8361 (244.3752+36.4609),25223,0,,0,,,,,,,,,
742,CCCNC(C)(C)COC(=O)c1ccccc1.Cl,C14H22ClNO2,271.7830 (235.3220+36.4609),25341,0,,0,,,,,,,,,
743,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)N1C.Cl,C17H26ClNO3,327.8462 (291.3853+36.4609),25828,0,,0,,,,,,,,,
744,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1.Cl,C21H26ClNO2,359.8896 (36.4609+323.4287),25292,0,,0,,,,,,,,,
745,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O.Cl.Cl,C14H26Cl2N2O7,405.2714 (332.3496+36.4609+36.4609),25429,0,,0,,,,,,,,,
746,Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O.Cl.Cl,C16H22Cl2N2O4S2,441.3929 (368.4710+36.4609+36.4609),26550,0,,0,,,,,,,,,
747,CC(C)(N)Cc1ccc(Cl)cc1.Cl,C10H15Cl2N,220.1388 (183.6779+36.4609),27792,0,,0,,,,,,,,,
748,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1.Cl,C16H21Cl2N3,326.2640 (289.8031+36.4609),28785,0,,0,,,,,,,,,
749,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1.Cl,C11H17Cl2N5,290.1922 (253.7312+36.4609),27756,0,,0,,,,,,,,,
750,CC(Cc1ccccc1)NCc1ccccc1Cl.Cl,C16H19Cl2N,296.2348 (259.7738+36.4609),26145,0,,0,,,,,,,,,
751,CN(CCCl)CCCl.Cl,C5H12Cl3N,192.5145 (156.0535+36.4609),5757,0,,1,,,,,,,,,
752,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1.Cl,C14H21Br2ClN2,412.5909 (376.1300+36.4609),25886,0,,0,,,,,,,,,
753,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1.Cl,C21H20ClF2N3O3,435.8516 (399.3907+36.4609),26599,0,,0,,,,,,,,,
754,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,C19H24ClNO,317.8530 (281.3920+36.4609),27752,0,,0,,,,,,,,,
755,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1.Cl,C19H19ClN4O2,370.8328 (334.3718+36.4609),26804,0,,0,,,,,,,,,
756,COc1ccc(OC)c(C(O)CNC(=O)CN)c1.Cl,C12H19ClN2O4,290.7433 (254.2823+36.4609),27493,0,,0,,,,,,,,,
757,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC.Cl,C20H22ClNO4,375.8460 (339.3850+36.4609),5825,0,,1,,,,,,,,,
758,COc1cc2c(cc1OC)C(C(C(=O)N(CCc1ccc(OC)c(OC)c1OC)CCc1ccc(OC)c(OC)c1OC)c1ccccc1)=NCC2.Cl,C41H49ClN2O9,749.2888 (712.8278+36.4609),26305,0,,0,,,,,,,,,
759,Cl.FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,C24H23ClF3N,417.8943 (381.4334+36.4609),26724,0,,1,,,,,,,,,
760,Cl.O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,C20H18ClF2N3O3,421.8250 (36.4609+385.3641),25939,0,,0,,,,,,,,,
761,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,C9H12ClF2N3O4,299.6591 (263.1981+36.4609),27827,0,,0,,,,,,,,,
762,Cl.NNc1ccccc1,C6H9ClN2,144.6021 (108.1411+36.4609),1148,0,,0,,,,,,,,,
763,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC.Cl,C19H26ClN5O4,423.8938 (387.4329+36.4609),25493,0,,0,,,,,,,,,
764,CC(C)CC(NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H]1CCC(=O)N1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)NCC(N)=O.Cl,C55H76ClN17O13,1218.7510 (1182.2901+36.4609),28880,0,,0,,,,,,,,,
765,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,C19H28ClN5O4,425.9097 (389.4488+36.4609),25514,0,,1,,,,,,,,,
766,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,C21H30ClNO,347.9220 (311.4611+36.4609),27832,0,,0,,,,,,,,,
767,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,C27H30ClNO11,579.9802 (543.5193+36.4609),10636,0,,1,,,,,,,,,
768,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,C13H18ClNO2,255.7405,25122,0,,0,,,,,,,,,
769,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,C21H18ClNO6,415.8237,2540,0,,0,,,,,,,,,
770,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,C13H17ClN2O2,268.7393,20554,0,,0,,,,,,,,,
771,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,C14H9Cl5,354.4863,375,0,,0,,,,,,,,,
772,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,C21H27ClN2O2,374.9043,3137,0,,0,,,,,,,,,
773,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,C20H15ClN4,346.8129,26919,0,,1,,,,,,,,,
774,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,C16H13ClN2O,284.7402,406,0,,0,,,,,,,,,
775,Cc1nnc2n1-c1sc(CCC(=O)N3CCOCC3)cc1C(c1ccccc1Cl)=NC2,C22H22ClN5O2S,455.9604,28900,0,,0,,,,,,,,,
776,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,C8H5BrCl6,393.7473,21680,0,,0,,,,,,,,,
777,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,C16H13Cl2NO4,354.1847,25522,0,,0,,,,,,,,,
778,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,C14H10Cl4,320.0412,372,0,,0,,,,,,,,,
779,Clc1ccccc1-c1nc(-c2ccncc2)no1,C13H8ClN3O,257.6751,25117,0,,1,,,,,,,,,
780,CCCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@@]21C,C26H32ClFO5,478.9807,26823,0,,1,,,,,,,,,
781,CC(=O)N(CC(=O)N(C)C)c1ccccc1,C12H16N2O2,220.2676,31515,0,,0,,,,,,,,,
782,CN(C)CCCOC1(Cc2ccccc2)CCCCCC1,C19H31NO,289.4555,2646,0,,0,,,,,,,,,
783,CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,C20H25NO3,327.4174,31548,0,,0,,,,,,,,,
784,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,C18H18ClNOS,331.8596,3756,0,,0,,,,,,,,,
785,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,C18H19N3O3S,357.4268,17131,0,,0,,,,,,,,,
786,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,C21H21N,287.3981,2872,0,,0,,,,,,,,,
787,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,C25H34N4O9,534.5589 (302.4145+116.0722+116.0722),26911,0,,0,,,,,,,,,
788,CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1,C19H20FN3,309.3806,26123,0,,0,,,,,,,,,
789,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,C17H20N4S,312.4325,3388,0,,0,,,,,,,,,
790,COc1ccc2c(c1OC)C(=O)O[C@H]2[C@@H]1c2cc3c(cc2CCN1C)OCO3,C21H21NO6,383.3945,25611,0,,0,,,,,,,,,
791,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,C15H17Cl2NO2,314.2070,22632,0,,0,,,,,,,,,
792,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,C22H24BrFN4O2,475.3540,26681,0,,0,,,,,,,,,
793,CNc1c2c(nn1C)CCCC2,C9H15N3,165.2355,26130,0,,0,,,,,,,,,
794,CNCCCC12CCC(c3ccccc31)c1ccccc12,C20H23N,277.4033,25029,0,,0,,,,,,,,,
795,COC(=O)C(Cl)C(=O)OC,C5H7ClO4,166.5597,28944,0,,1,,,,,,,,,
796,COc1c2occc2cc2ccc(=O)oc12,C12H8O4,216.1895,830,0,,0,,,,,,,,,
797,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,C31H44N2O10,604.6885,25425,0,,1,,,,,,,,,
798,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,C27H38N2O4,454.6016,21152,0,,0,,,,,,,,,
799,CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1,C20H21NO2,307.3862,31402,0,,0,,,,,,,,,
800,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,C23H21ClO3,380.8640,1299,0,,0,,,,,,,,,
801,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,C14H12O5,260.2421,25267,0,,0,,,,,,,,,
802,COc1ccnc2c1CCCCC2S(=O)c1nc2ccccc2[nH]1,C18H19N3O2S,341.4274,31442,0,,1,,,,,,,,,
803,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,C20H17FO3S,356.4106,3624,0,,0,,,,,,,,,
804,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,C32H47F5O3S,606.7708,2369,0,,0,,,,,,,,,
805,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,C8H8F3N3O4S2,331.2920,3132,0,,0,,,,,,,,,
806,FC(F)(F)c1ccccc1-n1ccnc1,C10H7F3N2,212.1712,25217,0,,0,,,,,,,,,
807,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,C9H11FN2O5,246.1924,3057,0,,1,,,,,,,,,
808,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,C16H22FNO,263.3504,3298,0,,0,,,,,,,,,
809,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,C23H26FN3O2,395.4698,25205,0,,1,,,,,,,,,
810,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,C23H24FN3O2S,425.5190,26743,0,,1,,,,,,,,,
811,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,C10F18,462.0783,26511,0,,0,,,,,,,,,
812,O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,C15H12I2O3,494.0629,26131,0,,0,,,,,,,,,
813,O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,C20H8I4O5,835.8924,24207,0,,0,,,,,,,,,
814,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,C17H19N5,293.3663,2607,0,,0,,,,,,,,,
815,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,C12H9N3O,211.2194,3324,0,,0,,,,,,,,,
816,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N,C22H25N3O2,363.4528,26744,0,,0,,,,,,,,,
817,N#CCC(=O)NN,C3H5N3O,99.0913,26572,0,,0,,,,,,,,,
818,N=C(Nc1ccccc1)Nc1ccccc1,C13H13N3,211.2624,5178,0,,1,,,,,,,,,
819,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,C12H12N2O2S,248.3009,371,0,,0,,,,,,,,,
820,Nc1ccc(N)cc1,C6H8N2,108.1411,1138,0,,1,,,,,,,,,
821,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N.O=C(O)/C=C\C(=O)O,C19H21FN4O6,420.3916 (304.3195+116.0722),25771,0,,0,,,,,,,,,
822,C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,C13H17N5O8S2,435.4328,2640,0,,0,,,,,,,,,
823,Nc1ccc(Cl)cc1C(=O)c1ccccc1F,C13H9ClFNO,249.6681,31621,0,,1,,,,,,,,,
824,Nc1nc(N)nc(NC2CC2)n1,C6H10N6,166.1838,3999,0,,0,,,,,,,,,
825,Nc1nc(N)c(-c2ccccc2)s1,C9H9N3S,191.2529,26388,0,,0,,,,,,,,,
826,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,C10H11ClFN5O3,303.6774,26437,0,,1,,,,,,,,,
827,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,C16H14N2O3S,314.3590,24226,0,,0,,,,,,,,,
828,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,C21H35N3O7,441.5185 (18.0153+18.0153+405.4879),25600,0,,0,,,,,,,,,
829,OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,C42H70O35,1134.9842,358,0,,0,,,,,,,,,
830,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,C7H17NO5,195.2136,3244,0,,0,,,,,,,,,
831,O=[N+]([O-])c1ccc(C=NO)o1,C5H4N2O4,156.0963,26402,0,,1,,,,,,,,,
832,Cc1ncc([N+](=O)[O-])n1C,C5H7N3O2,141.1280,497,0,,0,,,,,,,,,
833,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,C12H9N3O5,275.2170,25343,0,,1,,,,,,,,,
834,CCCC(=O)Nc1ccc(O)c(C(C)=O)c1,C12H15NO3,221.2524,31526,0,,0,,,,,,,,,
835,CC(=O)Nc1ccccc1,C8H9NO,135.1632,2543,0,,0,,,,,,,,,
836,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,C14H19NO5,281.3044,3713,0,,0,,,,,,,,,
837,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,C14H12O3S,260.3083,25469,0,,0,,,,,,,,,
838,COc1ccc(C(=O)c2ccccc2O)c(O)c1,C14H12O4,244.2427,2403,0,,0,,,,,,,,,
839,CCCc1ccc(OCC(=O)N2CCN(C(=O)COc3ccc(CCC)cc3OC)CC2)c(OC)c1,C28H38N2O6,498.6111,31440,0,,1,,,,,,,,,
840,CN1N=C(C(N)=O)CCC1=O,C6H9N3O2,155.1546,31494,0,,0,,,,,,,,,
841,NC(=O)c1ccc([N+](=O)[O-])cc1Cl,C7H5ClN2O3,200.5792,21405,0,,0,,,,,,,,,
842,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,C19H21N5O4,383.4011,29008,0,,0,,,,,,,,,
843,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1,C8H5N3O3S2,255.2736,26277,0,,1,,,,,,,,,
844,O=C(NCCO[N+](=O)[O-])c1cccnc1,C8H9N3O4,211.1748,25692,0,,0,,,,,,,,,
845,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,C27H33N3O8,527.5662,3568,0,,0,,,,,,,,,
846,NNC(=O)c1ccncc1,C6H7N3O,137.1393,755,0,,0,,,,,,,,,
847,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1.O=C(O)/C=C\C(=O)O,C23H23NO4S,409.4980 (293.4259+116.0722),25863,0,,0,,,,,,,,,
848,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O,C20H22N2O4,354.3997 (238.3275+116.0722),25790,0,,0,,,,,,,,,
849,CN1CCCN=C1/C=C/c1cccs1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,C15H20N2O6S,356.3941 (206.3073+150.0868),28784,0,,1,,,,,,,,,
850,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,C28H37N3O3,463.6117,31467,0,,0,,,,,,,,,
851,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,C15H13NO3,255.2686,3497,0,,0,,,,,,,,,
852,CCC(CC)(CC(=O)Nc1cccc(/C=C/c2nc(C3CCC3)cs2)c1)C(=O)O,C23H28N2O3S,412.5450,25742,0,,1,,,,,,,,,
853,Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)CC(O)(CC(=O)O)C(=O)O,C14H18N4O9,386.3141 (192.1235+194.1906),26938,0,,0,,,,,,,,,
854,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,C22H25NO3,351.4388,26853,0,,0,,,,,,,,,
855,C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,C14H14O4,246.2586,31423,0,,0,,,,,,,,,
856,O=C(O)c1ccccc1NCCc1ccccc1,C15H15NO2,241.2851,31482,0,,0,,,,,,,,,
857,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,C14H12FNO3,261.2484,25623,0,,0,,,,,,,,,
858,O=C(O)c1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,C24H26N2O2,374.4754,23892,0,,0,,,,,,,,,
859,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,C15H10Cl2N2O2,321.1581,782,0,,1,,,,,,,,,
860,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,C24H20N6O3,440.4540,2725,0,,0,,,,,,,,,
861,O=C(O)Cc1cccc2ccccc12,C12H10O2,186.2066,915,0,,0,,,,,,,,,
862,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)C(CC(C)C)NC=O,C29H53NO5,495.7348,3395,0,,0,,,,,,,,,
863,COC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,C23H32O4,372.4978,25474,0,,1,,,,,,,,,
864,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,C19H21N3O5,371.3871,3179,0,,0,,,,,,,,,
865,COC(=O)Nc1nc2cc(S(=O)c3ccccc3)ccc2[nH]1,C15H13N3O3S,315.3470,24112,0,,0,,,,,,,,,
866,CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,C16H22O3,262.3441,6241,0,,0,,,,,,,,,
867,CCOC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,C18H15NO2,277.3172,24821,0,,0,,,,,,,,,
868,CCOC(=O)c1cccnc1,C8H9NO2,151.1626,26526,0,,0,,,,,,,,,
869,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,C13H15NO3,233.2631,26289,0,,0,,,,,,,,,
870,CCOC(=O)CN1CCCC1=O,C8H13NO3,171.1937,31574,0,,0,,,,,,,,,
871,O=C(OOC(=O)c1ccccc1)c1ccccc1,C14H10O4,242.2268,1072,0,,0,,,,,,,,,
872,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,C21H26O3,326.4293,25125,0,,1,,,,,,,,,
873,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,C19H21NO4,327.3743,3349,0,,0,,,,,,,,,
874,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,C10H16N2O3S,244.3106,2679,0,,0,,,,,,,,,
875,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,C13H10N2O4,258.2295,2524,0,,0,,,,,,,,,
876,CCC1(CC)C(=O)NC(=O)NC1=O,C8H12N2O3,184.1925,2643,0,,0,,,,,,,,,
877,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,C22H26O4,354.4394,1397,0,,1,,,,,,,,,
878,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,C11H14N4O4,266.2533,2968,0,,0,,,,,,,,,
879,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,C9H12N4O3,224.2166,3031,0,,0,,,,,,,,,
880,CC1=NN(c2ccccc2)C(=O)C1,C10H10N2O,174.1992,1130,0,,0,,,,,,,,,
881,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,C17H16N4O2,308.3345,25366,0,,0,,,,,,,,,
882,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,C20H24O2,296.4034,3037,0,,1,,,,,,,,,
883,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,C14H8O4,240.2109,25960,0,,0,,,,,,,,,
884,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,C23H20N2O3S,404.4815,3618,0,,0,,,,,,,,,
885,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,C22H28O3,340.4559,25930,0,,1,,,,,,,,,
886,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCCC1,C27H40O3,412.6047,31641,0,,1,,,,,,,,,
887,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,C17H25N3O2S,335.4643,24289,0,,0,,,,,,,,,
888,CCN(CC)S(=O)(=O)c1ccc(C(=O)O)cc1,C11H15NO4S,257.3061,3011,0,,0,,,,,,,,,
889,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,C11H11N3O2S,249.2889,6067,0,,0,,,,,,,,,
890,COc1ccc(S(=O)(=O)Nc2nnc(CC(C)C)s2)cc1,C13H17N3O3S2,327.4224,26276,0,,0,,,,,,,,,
891,CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,C12H16N4O2S2,312.4110,31551,0,,0,,,,,,,,,
892,CNC(C)(C)Cc1ccccc1.CNC(C)(C)Cc1ccccc1.O=S(=O)(O)O,C22H36N2O4S,424.5972 (163.2594+98.0785+163.2594),27760,0,,0,,,,,,,,,
893,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,C16H18ClNO6S2,419.9002 (321.8217+98.0785),26024,0,,0,,,,,,,,,
894,N=C(N)N1CCc2ccccc2C1.N=C(N)N1CCc2ccccc2C1.O=S(=O)(O)O,C20H28N6O4S,448.5391 (175.2303+98.0785+175.2303),27755,0,,0,,,,,,,,,
895,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,C12H15Cl2NO5S,356.2222,1338,0,,0,,,,,,,,,
896,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,C15H15ClN2O4S,354.8086,3744,0,,0,,,,,,,,,
897,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,C9H15NO3S,217.2853,17197,0,,0,,,,,,,,,
898,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,C17H15N3O6,357.3175,20653,0,,0,,,,,,,,,
899,Nc1ccc(O)c(C(=O)O)c1,C7H7NO3,153.1354,4506,0,,0,,,,,,,,,
900,Cc1cccc(C(=O)O)c1O,C8H8O3,152.1473,18686,0,,0,,,,,,,,,
901,OC(C#CCN1CCCC1)(c1ccccc1)c1ccccc1,C20H21NO,291.3868,26295,0,,0,,,,,,,,,
902,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,C24H33N3O4,427.5365,25196,0,,0,,,,,,,,,
903,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,C6H8O6,176.1241,106,0,,0,,,,,,,,,
904,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,C14H15N3O5,305.2860,26439,1,,1,,,,,,,,,
905,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,C19H14O5S,354.3765,2408,0,,0,,,,,,,,,
906,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,C15H10O5,270.2369,2308,0,,1,,,,,,,,,
907,CNC[C@H](O)c1ccc(O)c(O)c1,C9H13NO3,183.2044,2986,0,,0,,,,,,,,,
